id,label,timeset,componentnumber,modularity_class,eccentricity,betweenesscentrality,harmonicclosnesscentrality,closnesscentrality,eigencentrality,pageranks
Max_Freilich,Max_Freilich,,0,0,9.0,0.04875090633445389,0.20136054421768698,0.1670201484623542,0.1406025739086388,0.013664241196041869
Kurt_Fleischer,Kurt_Fleischer,,0,0,10.0,0.004139476633049898,0.1627538422776524,0.14337733272644515,0.05513446328306734,0.003627782713380535
Otto_Fleischer,Otto_Fleischer,,0,0,10.0,0.0,0.15905013857394862,0.1431818181818182,0.03637871163726327,0.0013801910797715236
Bruno_Zacharias,Bruno_Zacharias,,0,0,10.0,0.0,0.16063744016125023,0.1432469304229195,0.049386721006771,0.0024003386235281637
Heinz_Mann,Heinz_Mann,,0,0,10.0,0.0,0.15905013857394862,0.1431818181818182,0.03637871163726327,0.0013801910797715236
Gunter_Bardeleben,Gunter_Bardeleben,,0,26,8.0,0.05175664095972579,0.21985260770975135,0.19736842105263158,0.07576099862013629,0.0022308107193959323
Adolf_Pollak,Adolf_Pollak,,0,0,10.0,0.0,0.15905013857394862,0.1431818181818182,0.03637871163726327,0.0013801910797715236
Bernhard_Berenblum,Bernhard_Berenblum,,0,0,10.0,0.0,0.16063744016125023,0.1432469304229195,0.049386721006771,0.0024003386235281637
Heinz_Warschauer,Heinz_Warschauer,,0,0,10.0,0.0,0.15905013857394862,0.1431818181818182,0.03637871163726327,0.0013801910797715236
Ernst_Marx,Ernst_Marx,,0,0,10.0,0.0,0.15905013857394862,0.1431818181818182,0.03637871163726327,0.0013801910797715236
Rackenheim,Rackenheim,,0,0,10.0,0.0,0.15905013857394862,0.1431818181818182,0.03637871163726327,0.0013801910797715236
Willi_Holz_Ajax,Willi_Holz_Ajax,,0,0,10.0,0.0,0.16116654069035077,0.14331210191082802,0.051237485284252156,0.002408066379674061
Harry_Strauss,Harry_Strauss,,0,0,10.0,0.0,0.15905013857394862,0.1431818181818182,0.03637871163726327,0.0013801910797715236
Arthur_Otto_Frenckel,Arthur_Otto_Frenckel,,0,28,7.0,0.009566567673475005,0.2704081632653062,0.23684210526315788,0.31949388467931206,0.004235316856655067
Horace_A_Rothfels,Horace_A_Rothfels,,0,28,8.0,6.619825000287724E-4,0.2447808012093733,0.2129817444219067,0.28259550754866547,0.0026541553514198664
Sigmund_Sigi_Muenz,Sigmund_Sigi_Muenz,,0,18,8.0,0.0025651055289481594,0.22571050642479262,0.20682862770847013,0.07536386224705156,0.0019775456571965626
Henry_Barth,Henry_Barth,,0,28,8.0,0.01776075373517362,0.26391156462585097,0.23093841642228738,0.26551770767472005,0.0035260031238098562
Willi_Koenig,Willi_Koenig,,0,26,6.0,0.05146074451011218,0.3000000000000003,0.26515151515151514,0.43831510170046684,0.0035672207435688648
Robert_Fox,Robert_Fox,,0,18,10.0,0.0,0.1895301083396323,0.1765695067264574,0.021715183691536383,0.001257533750534885
Jack_G_Foa,Jack_G_Foa,,0,19,8.0,0.0,0.20930839002267576,0.19553072625698323,0.03820334425492944,0.0012157386056351263
Henry_Oelberg,Henry_Oelberg,,0,19,7.0,0.016584322341688364,0.27073318216175407,0.24286815728604472,0.2148896775636421,0.003780720320526852
L_Goldman,L_Goldman,,0,0,11.0,0.0,0.13658008658008675,0.12544802867383512,0.014858773646988866,0.0014401897550362385
Alex_Fisher,Alex_Fisher,,0,29,9.0,0.0,0.1816187956664151,0.16578947368421051,0.030844921731855695,0.0015264324241761103
